,irace_1,irace_2,irace_3,irace_4,default
0,22.40694348,12.69490322,120.5393387,22.46700704,16.66397618
1,81.59889815,87.15707744,175.475874,82.10769054,98.40984167
2,1.018711085,0.704626762,1.014751454,1.014849829,0.738816847
3,2271.008261,2531.38363,116472.8802,2267.226165,1856.316343
4,5.37435519,4.597474614,9.577376072,5.381780648,5.210568894
5,137.2611499,143.1032208,173.9760833,137.4258687,113.2604257
6,1,0.918328397,1,1,1
7,1180.301252,151.3675845,1528.56187,1186.701928,420.8690661
8,10000,2970.083813,10000,10000,6633.426486
9,12.40696762,7.090103402,59.26879129,12.44177585,9.933186186
10,0.016927028,0.443133224,0.71833127,0.058176518,0.050611986
11,0.018315639,1,1,0.135335283,0.135335283
12,6687534.686,7069856.221,59109646.74,6689044.956,9146241.293
13,11542104.81,7016052.129,58439872.94,11551561.35,9044047.856
14,28308.20887,364258.9378,2269821.686,28009.23507,97374.02221
15,2845105.031,370710.452,335099.6073,2803223.353,233294.4219
16,22026.46579,162754.7914,1202604.284,22026.46579,59874.14172
17,2657130.348,51.97387252,57383.36027,2610625.415,149953.724
18,8273393.616,7696802.411,276153669,8265465.149,9317024.302
19,1.731678845,1.098100442,1,1.72080215,0.438285734
20,1,0.918328397,1,1,1
21,1,0.577946243,1,1,1
22,22.34043667,11.5056082,120.2055778,22.35917335,17.72651755
23,105.4106998,78.75947045,140.2901732,106.0665516,84.66252906
24,0.841766472,0.812327525,1.032802113,0.841136671,0.674030378
25,3030.327345,1827.861316,75979.03159,3045.212023,1560.966718
26,5.758539515,4.559564472,9.21876598,5.742213418,5.045198828
27,162.4662866,146.6356354,230.278294,164.4477789,143.1138104
28,1,1,1,1,1
29,567.151033,105.5883974,2435.33429,565.0235166,210.3877569
30,10000,138.3690784,10000,10000,7636.770917
31,12.40696762,7.090103402,59.26879129,12.44177585,9.933186186
32,0.033380247,1.821022596,0.754324001,0.024553824,0.02753233
33,0.049787068,1,1,0.049787068,0.049787068
34,12106738.13,5523326.582,59189225.74,12123648.29,6244468.27
35,11185948.54,5637648.56,56629822.61,11193499.8,6403384.477
